# category	feature	weight   (see model.json for thresholds)
audio	__PRIOR__	-3.631147
chat	__PRIOR__	-4.166665
cloud	__PRIOR__	-4.300197
database	__PRIOR__	-3.910732
desktop	__PRIOR__	-1.333452
development	__PRIOR__	-1.713507
editors	__PRIOR__	-2.962692
emulators	__PRIOR__	-4.300197
fonts	__PRIOR__	-2.950270
games	__PRIOR__	-3.452899
hardware	__PRIOR__	-2.548929
home-automation	__PRIOR__	-4.348987
localization	__PRIOR__	-2.867382
monitoring	__PRIOR__	-3.848211
networking	__PRIOR__	-4.125843
printing	__PRIOR__	-4.572130
security	__PRIOR__	-3.943522
system	__PRIOR__	-4.209225
terminal	__PRIOR__	-3.733801
text	__PRIOR__	-4.348987
typesetting	__PRIOR__	-4.125843
video	__PRIOR__	-3.538057
web	__PRIOR__	-3.943522
audio	builder:buildDotnetModule	0.000000
audio	builder:buildDunePackage	-0.000000
audio	builder:buildEnv	-0.000000
audio	builder:buildFHSEnv	0.000000
audio	builder:buildGoModule	-0.000000
audio	builder:buildHomeAssistantComponent	0.000000
audio	builder:buildKodiAddon	0.000000
audio	builder:buildNpmPackage	0.000000
audio	builder:buildPythonApplication	3.893280
audio	builder:buildPythonPackage	0.000000
audio	builder:fetchurl	-0.269364
audio	builder:fetchzip	-0.000000
audio	builder:mkDerivation	-0.000000
audio	builder:runCommand	-0.103998
audio	builder:rustPlatform.buildRustPackage	-0.000000
audio	builder:stdenv.mkDerivation	0.106875
audio	builder:stdenvNoCC.mkDerivation	-0.000000
audio	builder:symlinkJoin	-0.000000
audio	builder:vimUtils.buildVimPlugin	0.000000
audio	desktop:true	-0.000000
audio	gui:gtk3	0.476464
audio	gui:gtk4	-0.000000
audio	gui:wrapGAppsHook3	0.049029
audio	gui:wrapGAppsHook4	0.000000
audio	gui:wrapQtAppsHook	-0.000000
audio	has:mainProgram	-0.425674
audio	host:brother.com	0.000000
audio	host:buildbot.net	0.000000
audio	host:ctan.org	0.000000
audio	host:developer.android.com	0.000000
audio	host:dotnet.github.io	0.000000
audio	host:eclipse.org	0.000000
audio	host:enlightenment.org	0.000000
audio	host:extensions.gnome.org	-0.000000
audio	host:ftp.gnu.org	0.000000
audio	host:gitlab.linphone.org	0.000000
audio	host:gnu.org	0.000000
audio	host:grafana.com	0.000000
audio	host:invent.kde.org	-0.000000
audio	host:jetbrains.com	0.000000
audio	host:kernel.org	0.000000
audio	host:lilypond.org	0.000000
audio	host:multitran.sourceforge.net	0.000000
audio	host:nerdfonts.com	-0.000000
audio	host:open-music-kontrollers.ch	3.783091
