# category	feature	weight   (see model.json for thresholds)
application	__PRIOR__	-1.115394
build-support	__PRIOR__	-4.501324
cli-tool	__PRIOR__	-1.542633
data	__PRIOR__	-2.555414
driver	__PRIOR__	-2.709564
library	__PRIOR__	-1.971965
plugin	__PRIOR__	-2.058977
server	__PRIOR__	-3.315700
application	builder:buildDotnetModule	-0.301089
application	builder:buildDunePackage	-0.083598
application	builder:buildEnv	-0.213276
application	builder:buildFHSEnv	1.012035
application	builder:buildGoModule	-0.744369
application	builder:buildHomeAssistantComponent	-0.000000
application	builder:buildKodiAddon	-0.000000
application	builder:buildNpmPackage	-0.315084
application	builder:buildPythonApplication	-0.308224
application	builder:buildPythonPackage	-0.007416
application	builder:fetchurl	-1.118973
application	builder:fetchzip	-0.903896
application	builder:mkDerivation	-0.778894
application	builder:runCommand	-0.890085
application	builder:rustPlatform.buildRustPackage	-0.289779
application	builder:stdenv.mkDerivation	-0.417011
application	builder:stdenvNoCC.mkDerivation	-0.920995
application	builder:symlinkJoin	-0.187161
application	builder:vimUtils.buildVimPlugin	-0.000000
application	desktop:true	1.370055
application	gui:SDL2	1.201520
application	gui:gtk3	1.914965
application	gui:gtk4	2.233714
application	gui:libsForQt5	0.109193
application	gui:qt6.	0.461602
application	gui:wrapGAppsHook3	1.541182
application	gui:wrapGAppsHook4	3.409670
application	gui:wrapQtAppsHook	1.826979
application	has:mainProgram	0.676892
application	host:aylur.github.io	-0.000000
application	host:azure.github.io	-0.000000
application	host:bitscope.com	1.795656
application	host:brother.com	-0.000000
application	host:buildbot.net	-0.000000
application	host:coreboot.org	-0.000000
application	host:ctan.org	-0.000000
application	host:dotnet.github.io	-0.000000
application	host:eclipse.org	-0.000000
application	host:elastic.co	-0.000000
application	host:emilua.org	-0.000000
application	host:enlightenment.org	1.795656
application	host:extensions.gnome.org	-0.000000
application	host:ftp.gnu.org	-0.000000
application	host:gitlab.freedesktop.org	-0.097280
application	host:gitlab.gnome.org	0.037086
application	host:gitlab.linphone.org	1.561716
application	host:gnu.org	-0.291701
application	host:godotengine.org	-0.000000
application	host:graalvm.org	-0.000000
application	host:grafana.com	-0.000000
application	host:gstreamer.freedesktop.org	-0.000000
application	host:invent.kde.org	2.753024
application	host:jetbrains.com	2.660879
application	host:kernel.org	-0.000000
application	host:lilypond.org	-0.000000
application	host:nerdfonts.com	-0.000000
application	host:open-music-kontrollers.ch	2.192867
application	host:opensource.apple.com	-0.000000
application	host:optifine.net	-0.000000
application	host:pagure.io	-0.000000
application	host:sourceforge.net	-0.020375
application	host:translatelocally.com	-0.000000
application	host:web.archive.org	-0.000000
application	host:wiki.call-cc.org	-0.000000
application	host:wiki.documentfoundation.org	-0.000000
application	license:AGPL-3.0-only	-0.232411
application	license:AGPL-3.0-or-later	0.109193
application	license:APSL-2.0	-0.000000
application	license:Apache-2.0	-0.956759
application	license:Artistic-2.0	1.785649
application	license:BSD-2-Clause	1.066255
application	license:BSD-3-Clause	1.382349
application	license:BSL-1.0	0.595532
application	license:CC-BY-4.0	1.065022
application	license:CC-BY-SA-3.0	1.656533
application	license:CC-BY-SA-4.0	0.212207
application	license:CC0-1.0	2.685500
application	license:Classpath-exception-2.0	-0.000000
application	license:GPL-2.0	-0.141464
application	license:GPL-2.0-only	0.399292
application	license:GPL-2.0-or-later	1.550093
application	license:GPL-3.0	0.964439
application	license:GPL-3.0-only	2.056575
application	license:GPL-3.0-or-later	1.929651
application	license:ISC	0.036437
application	license:LGPL-2.0-only	1.554700
application	license:LGPL-2.0-or-later	1.511328
application	license:LGPL-2.1	-0.612662
application	license:LGPL-2.1-only	1.357461
application	license:LGPL-2.1-or-later	1.292177
application	license:LGPL-3.0	0.587635
application	license:LGPL-3.0-only	1.573297
application	license:LGPL-3.0-or-later	1.212190
application	license:LPPL-1.3c	-0.000000
application	license:MIT	-0.267363
application	license:MPL-2.0	0.083149
application	license:NCSA	-0.000000
application	license:OFL-1.1	-0.000000
application	license:PostgreSQL	-0.000000
application	license:UPL-1.0	-0.000000
application	license:Unlicense	1.012035
application	license:Zlib	0.461602
application	license:free	-0.188873
application	license:publicDomain	-0.232927
application	license:unfree	0.264177
application	license:unfreeRedistributable	0.130902
application	name:prefix:lib	-0.168883
application	name:suffix-bin	-0.261051
application	name:suffix-cli	-0.000000
application	name:suffix-server	-0.000000
application	name:suffix-theme	0.582344
application	name:suffix-tools	0.037174
application	name:suffix-unwrapped	-0.097280
application	svc:true	-0.574986
application	w:about	-0.013332
application	w:access	0.366613
application	w:add	0.109193
application	w:additional	0.037174
application	w:addon	-0.000000
application	w:adds	0.100013
application	w:advanced	-0.125248
application	w:agda	-0.000000
application	w:agent	0.320438
application	w:akonadi	2.192867
application	w:allow	0.109193
application	w:allows	-0.380382
application	w:also	-0.063709
application	w:alternative	-0.000000
application	w:amd	-0.000000
application	w:analysis	-0.170210
application	w:android	0.175547
application	w:apache	-0.000000
application	w:api	-0.098917
application	w:app	1.238885
application	w:application	1.963728
application	w:applications	0.781902
application	w:apps	0.037086
application	w:around	0.809712
application	w:asp	-0.000000
application	w:aspell	-0.000000
application	w:assist	1.363441
application	w:assistant	-0.413353
application	w:astal	-0.000000
application	w:audio	0.376737
application	w:azure	-0.000000
application	w:backend	1.363441
application	w:background	-0.000000
application	w:base	-0.000000
application	w:basic	-0.170210
application	w:berkeley	-0.000000
application	w:better	-0.097280
application	w:between	-0.188873
application	w:binary	-0.013332
application	w:bindings	-0.000000
application	w:bitscope	1.795656
application	w:blocks	-0.063709
application	w:bluetooth	0.432467
application	w:brother	-0.000000
application	w:browser	1.749877
application	w:build	-0.369763
application	w:building	-0.188873
application	w:built	0.523136
application	w:but	0.396531
application	w:c++	-0.721766
application	w:calculator	1.795656
application	w:callback	-0.000000
application	w:cards	-0.000000
application	w:catppuccin	-0.000000
application	w:check	-0.205680
application	w:chicken	-0.000000
application	w:chinese	1.012035
application	w:clang	-0.000000
application	w:classic	0.809712
application	w:clean	0.109193
application	w:cli	0.037174
application	w:client	0.473289
application	w:clients	0.270072
application	w:code	-0.568251
application	w:coding	-0.000000
application	w:collection	0.080869
application	w:color	0.100013
application	w:command	-0.462619
application	w:commands	-0.145398
application	w:common	-0.098917
application	w:compiler	-0.484986
application	w:compliant	-0.125248
application	w:component	-0.209836
application	w:components	1.481182
application	w:computer	0.109193
application	w:condensed	-0.000000
application	w:configuration	-0.299869
application	w:conquer	2.004736
application	w:console	0.109193
application	w:contents	-0.000000
application	w:control	-0.098917
application	w:controller	-0.000000
application	w:controls	0.109193
application	w:core	-0.209836
application	w:coreboot	-0.000000
application	w:corner	-0.000000
application	w:create	-0.068320
application	w:creation	-0.063709
application	w:cross	-0.000000
application	w:cross-platform	0.230916
application	w:cryptographic	-0.000000
application	w:custom	-0.000000
application	w:customizable	0.100013
application	w:daemon	0.485665
application	w:dark	-0.063709
application	w:darwin	-0.000000
application	w:data	-0.180990
application	w:database	-0.143886
application	w:dbus	-0.000000
application	w:dependencies	-0.125248
application	w:design	0.396531
application	w:designed	0.851541
application	w:desktop	1.854637
application	w:developers	-0.016860
application	w:development	0.035691
application	w:device	-0.125248
application	w:devices	0.768104
application	w:dictionary	-0.225176
application	w:disk	0.109193
application	w:display	0.100013
application	w:displays	-0.097280
application	w:distributed	-0.000000
application	w:documentation	-0.000000
application	w:documents	0.175547
application	w:driver	-0.509659
application	w:drivers	-0.000000
application	w:dump	-0.097280
application	w:dynamic	0.109193
application	w:easy	0.523136
application	w:eclipse	-0.000000
application	w:editing	0.270072
application	w:editor	1.404896
application	w:efficient	-0.000000
application	w:elementary	3.322457
application	w:elm	-0.000000
application	w:email	2.004736
application	w:embedded	-0.125248
application	w:emilua	-0.000000
application	w:emulator	0.603773
application	w:engine	-0.238365
application	w:english	-0.000000
application	w:environment	0.711471
application	w:etc	0.156335
application	w:event	-0.000000
application	w:extensible	0.582344
application	w:extension	-0.672623
application	w:extensions	-0.063709
application	w:fast	-0.337434
application	w:features	0.109193
application	w:file	0.582060
application	w:files	0.486113
application	w:find	-0.063709
application	w:firefox	2.192867
application	w:firmware	-0.177392
application	w:fish	-0.291701
application	w:font	-0.651723
application	w:fonts	-0.551313
application	w:fork	0.421970
application	w:format	-0.109421
application	w:framework	-0.251332
application	w:free	-0.301277
application	w:freshrss	-0.000000
application	w:frontend	-0.149224
application	w:full-featured	1.561716
application	w:functionality	0.320438
application	w:functions	-0.170210
application	w:game	1.997460
application	w:games	1.795656
application	w:ghidra	-0.000000
application	w:git	-0.000000
application	w:github	-0.063709
application	w:gnome	-0.000000
application	w:gnu	-0.358876
application	w:google	0.270072
application	w:grafana	-0.000000
application	w:graphics	0.037174
application	w:graylog	-0.000000
application	w:gstreamer	-0.000000
application	w:gtk	0.756247
application	w:gui	0.721269
application	w:handling	0.432467
application	w:hardware	-0.000000
application	w:hashes	-0.000000
application	w:headers	-0.000000
application	w:helm	-0.000000
application	w:helper	0.037174
application	w:helps	0.109193
application	w:high	-0.125248
application	w:high-performance	-0.000000
application	w:highlight	0.396531
application	w:highly	0.270072
application	w:home	-0.309990
application	w:html	-0.063709
application	w:http	-0.097280
application	w:hyphen	-0.000000
application	w:hyprland	1.785649
application	w:ibus	2.518557
application	w:icons	0.396531
application	w:ide	0.005415
application	w:image	0.603773
application	w:images	0.396531
application	w:implementation	-0.410057
application	w:improve	0.109193
application	w:indian	-0.000000
application	w:indicator	1.065022
application	w:information	-0.010172
application	w:input	1.110876
application	w:inspired	-0.170210
application	w:install	-0.064079
application	w:integrate	-0.097280
application	w:integrates	-0.063709
application	w:integrating	-0.020375
application	w:integration	-0.098917
application	w:intel	-0.000000
application	w:interactive	0.582344
application	w:interface	-0.001106
application	w:iosevka	-0.000000
application	w:jack	1.561716
application	w:java	-0.206203
application	w:javascript	-0.149224
application	w:jetbrains	1.905068
application	w:json	-0.000000
application	w:kde	3.323926
application	w:kernel	-0.425791
application	w:key	-0.063709
application	w:keyboard	0.756247
application	w:kio	0.916963
application	w:kodi	-0.149224
application	w:kubernetes	-0.000000
application	w:language	-0.787788
application	w:languages	-0.281768
application	w:laptop	0.037174
application	w:libraries	-0.052242
application	w:library	-0.205335
application	w:libreoffice	-0.000000
application	w:libretro	-0.000000
application	w:ligature	-0.000000
application	w:ligatures	-0.000000
application	w:lightweight	0.080869
application	w:like	0.100013
application	w:lilypond	-0.000000
application	w:line	-0.000000
application	w:linux	-0.743969
application	w:lisp	-0.000000
application	w:llvm	-0.000000
application	w:local	-0.000000
application	w:lomiri	3.026118
application	w:lua	0.037174
application	w:lv2	2.791988
application	w:lxqt	2.660879
application	w:machine	0.037174
application	w:mail	1.196004
application	w:make	0.868308
application	w:makes	-0.125248
application	w:man	-0.000000
application	w:manage	0.538047
application	w:management	0.206457
application	w:manager	0.663825
application	w:managing	0.100013
application	w:many	-0.020375
application	w:markdown	0.270072
application	w:matrix	1.363441
application	w:memory	-0.000000
application	w:menu	0.276987
application	w:message	0.109193
application	w:messages	0.037174
application	w:metadata	0.109193
application	w:method	1.012035
application	w:mimicking	-0.000000
application	w:minecraft	-0.000000
application	w:minimal	-0.125248
application	w:mobile	1.949767
application	w:mod	-0.000000
application	w:model	-0.318452
application	w:modern	-0.000000
application	w:module	-0.511568
application	w:modules	-0.000000
application	w:monitor	0.360890
application	w:monitoring	-0.256451
application	w:mono	-0.000000
application	w:monospace	-0.000000
application	w:mopidy	-0.000000
application	w:mozilla	0.809712
application	w:music	0.315667
application	w:native	0.156335
application	w:neovim	-0.125248
application	w:nerd	-0.000000
application	w:net	-0.399527
application	w:network	-0.098917
application	w:new	-0.097280
application	w:nix	-0.000000
application	w:nixos	-0.000000
application	w:normal	-0.000000
application	w:notification	0.916963
application	w:notifications	0.037174
application	w:nvidia	-0.000000
application	w:obs	-0.000000
application	w:obtain	-0.000000
application	w:ocaml	-0.256451
application	w:official	0.320438
application	w:one	0.315667
application	w:open	-0.833225
application	w:open-source	0.037086
application	w:openjdk	-0.000000
application	w:operating	0.432467
application	w:optimization	-0.301089
application	w:org	0.396531
application	w:original	2.004736
application	w:output	-0.063709
application	w:package	-0.277240
